ncbi_id,gene_name,ensembl_id
327590,tk1,ENSDARG00000102245
322732,alox12,ENSDARG00000069463
567204,alox5a,ENSDARG00000057273
436646,galm,ENSDARG00000057630
559001,fasn,ENSDARG00000087657
619247,aasdhppt,ENSDARG00000037501
564111,mcat,ENSDARG00000016613
393350,xylb,ENSDARG00000043260
336798,ggps1,ENSDARG00000023627
552997,fdps,ENSDARG00000040890
449945,pgm2l1,ENSDARG00000014704
550332,dctd,ENSDARG00000036990
553701,gda,ENSDARG00000002986
548343,glb1,ENSDARG00000036415
569980,bckdhb,ENSDARG00000014676
554124,bckdha,ENSDARG00000040555
64265,aox5,ENSDARG00000071475
570457,aox6,ENSDARG00000020054
393864,naprt,ENSDARG00000027930
336977,hagh,ENSDARG00000025338
560486,xdh,ENSDARG00000055240
100000859,ehhadh,ENSDARG00000070029
393105,hsd17b4,ENSDARG00000101239
450078,hsd17b10,ENSDARG00000017781
445121,hadh,ENSDARG00000030765
563180,g6pca.2,ENSDARG00000013721
791448,qdprb1,ENSDARG00000037378
563255,zgc:171517,ENSDARG00000090822
566323,qdpra,ENSDARG00000040190
378962,pah,ENSDARG00000020143
394161,cds2,ENSDARG00000035577
100002015,cds1,ENSDARG00000019549
404620,cdipt,ENSDARG00000070686
322780,nansa,ENSDARG00000045620
553795,nanp,ENSDARG00000075143
100148292,npl,ENSDARG00000009390
554136,spra,ENSDARG00000004406
352943,tph1a,ENSDARG00000029432
407712,tph2,ENSDARG00000057239
30384,th,ENSDARG00000030621
368229,pmm2,ENSDARG00000037654
613246,mpi,ENSDARG00000030786
324556,taldo1,ENSDARG00000103369
550398,srd5a2a,ENSDARG00000043587
560717,srd5a3,ENSDARG00000043307
767715,srd5a1,ENSDARG00000020509
64815,hsd17b8,ENSDARG00000001169
373131,hsd3b2,ENSDARG00000019747
553532,hsd3b1,ENSDARG00000069926
393335,hsd17b3,ENSDARG00000023287
393592,cyp2p9,ENSDARG00000022631
797309,cyp2j20,ENSDARG00000094057
387527,cyp4t8,ENSDARG00000004964
100034366,cyp2p8,ENSDARG00000042982
100150054,cyp1b1,ENSDARG00000068934
140634,cyp1a,ENSDARG00000098315
553969,cyp3a65,ENSDARG00000103295
399485,cyp2p10,ENSDARG00000042990
405861,pccb,ENSDARG00000038910
437019,pcca,ENSDARG00000028982
494065,dhodh,ENSDARG00000051889
503707,upp1,ENSDARG00000040869
393113,upp2,ENSDARG00000036833
402979,cdab,ENSDARG00000038199
559958,cdaa,ENSDARG00000111188
30095,ckma,ENSDARG00000035327
799492,ckmt2b,ENSDARG00000039929
140744,ckbb,ENSDARG00000043257
321892,ckmt1,ENSDARG00000016598
796865,gamt,ENSDARG00000070844
550327,pcyt1aa,ENSDARG00000011233
555725,pcyt1bb,ENSDARG00000104207
553770,pcyt1ab,ENSDARG00000004492
100001552,pcyt1ba,ENSDARG00000058162
550282,dcxr,ENSDARG00000079271
394009,srm,ENSDARG00000055760
558088,cpt1aa,ENSDARG00000059770
100005717,cpt2,ENSDARG00000038618
560000,cpt1ab,ENSDARG00000062054
100331840,sphk1,ENSDARG00000100290
